id,uuid_a,gene_name_a,ncbi_id_b,uuid_b,gene_name_b,protein_name_b,alt_id_b,detection_method,pmid,analytic_throughput,source,curater_comments,meeting_imex_criteria,high_stringency_interactor
3381,O15294,OGT,Homo sapiens (Human),P29083,GTF2E1,General transcription factor IIE subunit 1,refseq:NP_005504,pull down,32994395,High throughput,BioGRID,,,
3382,O15294,OGT,Homo sapiens (Human),P54725,RAD23A,UV excision repair protein RAD23 homolog A,refseq:NP_005044|refseq:NP_001257291|refseq:NP_001257292,pull down,32994395,High throughput,BioGRID,,,
3383,O15294,OGT,Homo sapiens (Human),Q9H1Y0,ATG5,Autophagy protein 5,refseq:NP_004840|refseq:NP_001273036|refseq:NP_001273035|refseq:NP_001273037|refseq:NP_001273040,pull down,32994395,High throughput,BioGRID,,,
3384,O15294,OGT,Homo sapiens (Human),Q7Z7E8,UBE2Q1,Ubiquitin-conjugating enzyme E2 Q1,refseq:NP_060052,pull down,32994395,High throughput,BioGRID,,,
3385,O15294,OGT,Homo sapiens (Human),O14745,SLC9A3R1,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,refseq:NP_004243,pull down,32994395,High throughput,BioGRID,,,
3386,O15294,OGT,Homo sapiens (Human),P04181,OAT,"Ornithine aminotransferase, mitochondrial",refseq:NP_000265|refseq:NP_001309900|refseq:NP_001309903|refseq:NP_001165285|refseq:NP_001309899|refseq:NP_001309898|refseq:NP_001309897|refseq:NP_001309896|refseq:NP_001309895|refseq:NP_001309894,pull down,32994395,High throughput,BioGRID,,,
3387,O15294,OGT,Homo sapiens (Human),Q9P0J1,PDP1,"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",refseq:NP_001155252|refseq:NP_001155253|refseq:NP_001155251|refseq:NP_060914,pull down,32994395,High throughput,BioGRID,,,
3388,O15294,OGT,Homo sapiens (Human),P78368,CSNK1G2,Casein kinase I isoform gamma-2,refseq:NP_001310,pull down,32994395,High throughput,BioGRID,,,
3389,O15294,OGT,Homo sapiens (Human),Q92804,TAF15,TATA-binding protein-associated factor 2N,refseq:NP_003478|refseq:NP_631961,pull down,32994395,High throughput,BioGRID,,,
3390,O15294,OGT,Homo sapiens (Human),Q6DD88,ATL3,Atlastin-3,refseq:NP_001276977|refseq:NP_056274,pull down,32994395,High throughput,BioGRID,,,
